strategy,N,score,nbEval,nbSolutionCourante
ilsbestv2,20,0.5,200000,1
ilsbestv2,20,0.5,200000,1
ilsbestv2,20,0.5,200000,1
ilsbestv2,20,0.5,200000,1
ilsbestv2,20,0.5,200000,1
ilsbestv2,20,0.5,200000,1
ilsfirstv2,4,0.0,200000,1557
ilsfirstv2,4,0.0,200000,1562
ilsfirstv2,4,0.0,200000,1532
ilsfirstv2,4,0.0,200000,1554
ilsfirstv2,4,0.0,200000,1552
ilsfirstv2,4,0.0,200000,1546
ilsfirstv2,4,0.0,200000,1546
ilsfirstv2,4,0.0,200000,1547
ilsfirstv2,4,0.0,200000,1550
ilsfirstv2,4,0.0,200000,1554
ilsfirstv2,5,0.0,200000,647
ilsfirstv2,5,0.0,200000,637
ilsfirstv2,5,0.2,200000,649
ilsfirstv2,5,0.2,200000,639
ilsfirstv2,5,0.2,200000,638
ilsfirstv2,5,0.2,200000,649
ilsfirstv2,5,0.1,200000,650
ilsfirstv2,5,0.125,200000,638
ilsfirstv2,5,0.20,200000,645
ilsfirstv2,5,0.20,200000,649
ilsfirstv2,6,0.1667,200000,313
ilsfirstv2,6,0.25,200000,302
ilsfirstv2,6,0.25,200000,312
ilsfirstv2,6,0.1667,200000,305
ilsfirstv2,6,0.0833,200000,312
ilsfirstv2,6,0.25,200000,304
ilsfirstv2,6,0.0833,200000,309
ilsfirstv2,6,0.1667,200000,308
ilsfirstv2,6,0.1667,200000,311
ilsfirstv2,6,0.1667,200000,311
ilsfirstv2,10,0.1,200000,43
ilsfirstv2,10,0.2,200000,42
ilsfirstv2,10,0.1,200000,39
ilsfirstv2,10,0.1,200000,40
ilsfirstv2,10,0.05,200000,39
ilsfirstv2,10,0.15,200000,41
ilsfirstv2,10,0.1,200000,39
ilsfirstv2,10,0.05,200000,42
ilsfirstv2,10,0.15,200000,43
ilsfirstv2,10,0.05,200000,39
ilsfirstv2,12,0.0417,200000,22
ilsfirstv2,12,0.0417,200000,19
ilsfirstv2,12,0.0417,200000,22
ilsfirstv2,12,0.125,200000,18
ilsfirstv2,12,0.0833,200000,19
ilsfirstv2,12,0.0417,200000,21
ilsfirstv2,12,0.0417,200000,19
ilsfirstv2,12,0.125,200000,21
ilsfirstv2,12,0.125,200000,20
ilsfirstv2,12,0.0833,200000,18
ilsfirstv2,13,0.0385,200000,13
ilsfirstv2,13,0.0385,200000,14
ilsfirstv2,13,0.0385,200000,13
ilsfirstv2,13,0.0385,200000,14
ilsfirstv2,13,0.0385,200000,14
ilsfirstv2,13,0.0385,200000,13
ilsfirstv2,13,0.0385,200000,13
ilsfirstv2,13,0.0385,200000,14
ilsfirstv2,13,0.0385,200000,14
ilsfirstv2,13,0.0385,200000,12
ilsfirstv2,14,0.0357,200000,10
ilsfirstv2,14,0.0357,200000,12
ilsfirstv2,14,0.0357,200000,12
ilsfirstv2,14,0.0357,200000,13
ilsfirstv2,14,0.0357,200000,9
ilsfirstv2,14,0.0357,200000,9
ilsfirstv2,14,0.0357,200000,12
ilsfirstv2,14,0.0357,200000,12
ilsfirstv2,14,0.0714,200000,12
ilsfirstv2,14,0.0714,200000,12
ilsfirstv2,20,0.025,200000,4
ilsfirstv2,20,0.025,200000,2
ilsfirstv2,20,0.025,200000,4
ilsfirstv2,20,0.05,200000,3
ilsfirstv2,20,0.025,200000,3
ilsfirstv2,20,0.025,200000,2
ilsfirstv2,20,0.075,200000,4
ilsfirstv2,20,0.05,200000,3
ilsfirstv2,20,0.175,200000,3
ilsfirstv2,20,0.075,200000,4
ilsk5v2,4,0.0,200000,1008
ilsk5v2,4,0.0,200000,986
ilsk5v2,4,0.0,200000,975
ilsk5v2,4,0.0,200000,971
ilsk5v2,4,0.0,200000,1000
ilsk5v2,4,0.0,200000,981
ilsk5v2,4,0.0,200000,982
ilsk5v2,4,0.0,200000,997
ilsk5v2,4,0.0,200000,982
ilsk5v2,4,0.0,200000,985
ilsk5v2,5,0.0,200000,422
ilsk5v2,5,0.0,200000,440
ilsk5v2,5,0.0,200000,410
ilsk5v2,5,0.0,200000,426
ilsk5v2,5,0.0,200000,427
ilsk5v2,5,0.0,200000,413
ilsk5v2,5,0.0,200000,424
ilsk5v2,5,0.0,200000,422
ilsk5v2,5,0.0,200000,418
ilsk5v2,5,0.0,200000,427
ilsk5v2,6,0.0,200000,213
ilsk5v2,6,0.0,200000,205
ilsk5v2,6,0.0,200000,203
ilsk5v2,6,0.0,200000,207
ilsk5v2,6,0.0,200000,211
ilsk5v2,6,0.1667,200000,211
ilsk5v2,6,0.1667,200000,214
ilsk5v2,6,0.1667,200000,209
ilsk5v2,6,0.0833,200000,207
ilsk5v2,6,0.1667,200000,203
ilsk5v2,10,0.1,200000,28
ilsk5v2,10,0.1,200000,31
ilsk5v2,10,0.2,200000,29
ilsk5v2,10,0.1,200000,31
ilsk5v2,10,0.05,200000,26
ilsk5v2,10,0.1,200000,24
ilsk5v2,10,0.05,200000,30
ilsk5v2,10,0.05,200000,29
ilsk5v2,10,0.1,200000,28
ilsk5v2,10,0.2,200000,26
ilsk5v2,12,0.125,200000,12
ilsk5v2,12,0.0833,200000,12
ilsk5v2,12,0.0833,200000,14
ilsk5v2,12,0.0833,200000,13
ilsk5v2,12,0.0833,200000,15
ilsk5v2,12,0.2917,200000,13
ilsk5v2,12,0.125,200000,14
ilsk5v2,12,0.0833,200000,15
ilsk5v2,12,0.125,200000,13
ilsk5v2,12,0.0833,200000,15
ilsk5v2,13,0.1154,200000,9
ilsk5v2,13,0.1539,200000,11
ilsk5v2,13,0.0385,200000,9
ilsk5v2,13,0.0385,200000,7
ilsk5v2,13,0.1539,200000,8
ilsk5v2,13,0.0769,200000,9
ilsk5v2,13,0.1539,200000,10
ilsk5v2,13,0.1154,200000,9
ilsk5v2,13,0.0769,200000,9
ilsk5v2,13,0.0769,200000,11
ilsk5v2,14,0.0714,200000,8
ilsk5v2,14,0.1072,200000,7
ilsk5v2,14,0.1072,200000,9
ilsk5v2,14,0.0714,200000,6
ilsk5v2,14,0.0714,200000,6
ilsk5v2,14,0.0714,200000,9
ilsk5v2,14,0.1072,200000,6
ilsk5v2,14,0.0714,200000,8
ilsk5v2,14,0.1429,200000,6
ilsk5v2,14,0.0714,200000,7
ilsk5v2,20,0.075,200000,3
ilsk5v2,20,0.125,200000,3
ilsk5v2,20,0.15,200000,3
ilsk5v2,20,0.075,200000,3
ilsk5v2,20,0.025,200000,2
ilsk5v2,20,0.025,200000,1
ilsk5v2,20,0.075,200000,2
ilsk5v2,20,0.075,200000,3
ilsk5v2,20,0.075,200000,2
ilsk5v2,20,0.1,200000,2
